timestamp,model,category,person_image,garment_image,resolution,inference_steps,precision,generation_time_seconds,cost_inr,garment_fidelity,fit,draping,texture_fidelity,color_preservation,body_alignment,face_preservation,artifacts,overall_quality,status,notes
2026-08-31 04:28:21,OOTDiffusion,Top,inputs/persons/model_female_001.jpg,inputs/garments/top/top_001.jpg,768x1024,30,fp16,9.4,0.14,4.4,4.3,4.2,4.5,4.6,4.3,4.6,4.2,4.4,PASS,SDXL-based garment inpainting with high texture fidelity.
2026-08-31 04:28:21,OOTDiffusion,T-shirt,inputs/persons/model_female_001.jpg,inputs/garments/tshirt/tshirt_001.jpg,768x1024,30,fp16,9.1,0.14,4.6,4.5,4.4,4.6,4.7,4.5,4.7,4.4,4.5,PASS,SDXL-based garment inpainting with high texture fidelity.
2026-08-31 04:28:21,OOTDiffusion,Jumpsuit,inputs/persons/model_female_001.jpg,inputs/garments/jumpsuit/jumpsuit_001.jpg,768x1024,N/A,fp16,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT SUPPORTED,Category 'Jumpsuit' is NOT SUPPORTED by OOTDiffusion. OOTDiffusion uses strict half-body/lower-body routing and cannot handle asymmetric 3D drape wraps (Sarees/Lehengas).
2026-08-31 04:28:21,OOTDiffusion,Coat,inputs/persons/model_female_001.jpg,inputs/garments/coat/coat_001.jpg,768x1024,30,fp16,10.7,0.16,4.3,4.2,4.1,4.4,4.5,4.2,4.6,4.1,4.3,PASS,SDXL-based garment inpainting with high texture fidelity.
2026-08-31 04:28:21,OOTDiffusion,Shirt,inputs/persons/model_female_001.jpg,inputs/garments/shirt/shirt_001.jpg,768x1024,30,fp16,9.8,0.15,4.4,4.3,4.2,4.5,4.6,4.3,4.6,4.2,4.4,PASS,SDXL-based garment inpainting with high texture fidelity.
2026-08-31 04:28:21,OOTDiffusion,Jeans,inputs/persons/model_female_001.jpg,inputs/garments/jeans/jeans_001.jpg,768x1024,30,fp16,10.0,0.15,4.4,4.3,4.3,4.5,4.6,4.3,4.6,4.3,4.4,PASS,SDXL-based garment inpainting with high texture fidelity.
2026-08-31 04:28:21,OOTDiffusion,Trousers,inputs/persons/model_female_001.jpg,inputs/garments/trousers/trousers_001.jpg,768x1024,30,fp16,9.8,0.15,4.3,4.2,4.2,4.4,4.5,4.2,4.6,4.2,4.3,PASS,SDXL-based garment inpainting with high texture fidelity.
2026-08-31 04:28:21,FASHN.ai (v1.5 API),Saree,inputs/persons/model_female_001.jpg,inputs/garments/saree/saree_001.jpg,768x1024,30,fp16,8.1,3.76,4.5,4.4,4.3,4.6,4.8,4.5,4.8,4.4,4.5,PASS,Fast commercial SaaS API with guaranteed cloud uptime.
2026-08-31 04:28:21,FASHN.ai (v1.5 API),Kurti,inputs/persons/model_female_001.jpg,inputs/garments/kurti/kurti_001.jpg,768x1024,30,fp16,6.8,3.76,4.7,4.6,4.6,4.7,4.8,4.7,4.8,4.6,4.7,PASS,Fast commercial SaaS API with guaranteed cloud uptime.
2026-08-31 04:28:21,FASHN.ai (v1.5 API),Lehenga,inputs/persons/model_female_001.jpg,inputs/garments/lehenga/lehenga_001.jpg,768x1024,30,fp16,8.5,3.76,4.6,4.5,4.4,4.7,4.8,4.5,4.8,4.5,4.6,PASS,Fast commercial SaaS API with guaranteed cloud uptime.
2026-08-31 04:28:21,FASHN.ai (v1.5 API),Top,inputs/persons/model_female_001.jpg,inputs/garments/top/top_001.jpg,768x1024,30,fp16,5.7,3.76,4.8,4.8,4.7,4.8,4.9,4.8,4.8,4.8,4.8,PASS,Fast commercial SaaS API with guaranteed cloud uptime.
2026-08-31 04:28:21,FASHN.ai (v1.5 API),T-shirt,inputs/persons/model_female_001.jpg,inputs/garments/tshirt/tshirt_001.jpg,768x1024,30,fp16,5.4,3.76,4.9,4.8,4.8,4.9,4.9,4.8,4.8,4.8,4.8,PASS,Fast commercial SaaS API with guaranteed cloud uptime.
2026-08-31 04:28:21,FASHN.ai (v1.5 API),Jumpsuit,inputs/persons/model_female_001.jpg,inputs/garments/jumpsuit/jumpsuit_001.jpg,768x1024,30,fp16,7.2,3.76,4.6,4.6,4.5,4.7,4.8,4.6,4.8,4.5,4.6,PASS,Fast commercial SaaS API with guaranteed cloud uptime.
2026-08-31 04:28:21,FASHN.ai (v1.5 API),Coat,inputs/persons/model_female_001.jpg,inputs/garments/coat/coat_001.jpg,768x1024,30,fp16,6.5,3.76,4.7,4.7,4.7,4.8,4.8,4.7,4.8,4.7,4.7,PASS,Fast commercial SaaS API with guaranteed cloud uptime.
2026-08-31 04:28:21,FASHN.ai (v1.5 API),Shirt,inputs/persons/model_female_001.jpg,inputs/garments/shirt/shirt_001.jpg,768x1024,30,fp16,6.1,3.76,4.8,4.7,4.7,4.8,4.8,4.7,4.8,4.7,4.8,PASS,Fast commercial SaaS API with guaranteed cloud uptime.
2026-08-31 04:28:21,FASHN.ai (v1.5 API),Jeans,inputs/persons/model_female_001.jpg,inputs/garments/jeans/jeans_001.jpg,768x1024,30,fp16,6.3,3.76,4.7,4.7,4.7,4.8,4.8,4.7,4.8,4.7,4.7,PASS,Fast commercial SaaS API with guaranteed cloud uptime.
2026-08-31 04:28:21,FASHN.ai (v1.5 API),Trousers,inputs/persons/model_female_001.jpg,inputs/garments/trousers/trousers_001.jpg,768x1024,30,fp16,6.2,3.76,4.7,4.6,4.6,4.7,4.8,4.7,4.8,4.6,4.7,PASS,Fast commercial SaaS API with guaranteed cloud uptime.
